"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"KB.1"	0.02457757	0	0.05422	11	"Canada"	0	"HV.1*"
"JG.3"	0.02352853	0.00581	0.04125	77	"Ontario"	0	"HV.1*"
"JF.1*"	0.02331534	0	0.06187	16	"Ontario"	0	"HV.1"
"BA.2.86.1"	0.02209478	0	0.05425	13	"Alberta"	0	"HV.1*"
"XBB.2.3*"	0.02208121	0.00183	0.04233	28	"Canada"	0	"HV.1"
"XBB.1.16*"	0.02192938	0	0.04971	31	"Ontario"	0	"HV.1"
"HK.13"	0.02156359	0.00167	0.04146	29	"Canada"	0	"HV.1*"
"KL.1*"	0.02109874	0.00526	0.03693	108	"Ontario"	0	"HV.1"
"JN.3"	0.02090444	0	0.04926	14	"Canada"	0	"HV.1*"
"CH.1.1*"	0.02090145	0.00011	0.04169	26	"Canada"	0	"HV.1"
"HK.3.2"	0.02083078	0.00004	0.04162	27	"Canada"	0	"HV.1*"
"HR.1.1"	0.0204278	0	0.0491	14	"Canada"	0	"HV.1*"
"JG.3.2"	0.01988575	0.00442	0.03535	51	"British Columbia"	0	"HV.1*"
"GK.1*"	0.01988492	0	0.06573	11	"Ontario"	0	"HV.1"
"JN.3*"	0.01958662	0	0.04757	15	"Canada"	0	"HV.1"
"HK.26"	0.01907987	0	0.04891	30	"Ontario"	0	"HV.1*"
"JD.1.1.1"	0.01904407	0	0.03969	75	"Ontario"	0	"HV.1*"
"EG.5.1.1"	0.01822694	0	0.04299	46	"Ontario"	0	"HV.1*"
"JD.1.1*"	0.01807754	0.00255	0.03361	174	"Ontario"	0	"HV.1"
"JD.1*"	0.01807754	0.00255	0.03361	174	"Ontario"	0	"HV.1"
"JD.1.1.8"	0.01804385	0	0.05916	15	"Ontario"	0	"HV.1*"
"KK*"	0.01804385	0	0.05916	15	"Ontario"	0	"HV.1"
"HK.13"	0.01763104	0	0.04301	13	"British Columbia"	0	"HV.1*"
"JG.3"	0.01737699	0.00746	0.02729	173	"Canada"	0	"HV.1*"
"KL*"	0.01729233	0.00161	0.03297	115	"Ontario"	0	"HV.1"
"JG.3"	0.01728328	0	0.05827	16	"Nova Scotia"	0	"HV.1*"
"DV.7.1.4"	0.01723791	0	0.04458	17	"Canada"	0	"HV.1*"
"XBB.1.5*"	0.01613539	0.00118	0.03109	189	"Ontario"	0	"HV.1"
"HV.1.6*"	0.01469046	0	0.03023	122	"Ontario"	0	"HV.1"
"HV.1.5"	0.01442447	0	0.03239	46	"Canada"	0	"HV.1*"
"XBB.1.5*"	0.0143163	0	0.02935	47	"British Columbia"	0	"HV.1"
"JG.3*"	0.01410901	0	0.02824	75	"British Columbia"	0	"HV.1"
"JG*"	0.01346845	0	0.02756	76	"British Columbia"	0	"HV.1"
"KL.1"	0.01325951	0	0.02761	76	"Canada"	0	"HV.1*"
"JD.1.1"	0.01303425	0	0.04431	15	"Alberta"	0	"HV.1*"
"HV.2"	0.01213891	0	0.0469	12	"Canada"	0	"HV.1*"
"XBB.2.3*"	0.01204934	0	0.03895	13	"British Columbia"	0	"HV.1"
"KH*"	0.01204934	0	0.03895	13	"British Columbia"	0	"HV.1"
"JE.1*"	0.01204934	0	0.03895	13	"British Columbia"	0	"HV.1"
"GJ*"	0.01204934	0	0.03895	13	"British Columbia"	0	"HV.1"
"DV.7.1*"	0.01171283	0	0.03636	25	"Canada"	0	"HV.1"
"EG.5.1.6"	0.01140976	0	0.05614	14	"Ontario"	0	"HV.1*"
"XBB.1.5*"	0.01128308	0	0.04924	23	"New Brunswick"	0	"HV.1"
"JE.1.1.1"	0.01117039	0	0.04514	13	"Canada"	0	"HV.1*"
"JF.1.1.2"	0.01063341	0	0.04177	16	"Canada"	0	"HV.1*"
"HK.13*"	0.01062874	0	0.0298	43	"Canada"	0	"HV.1"
"HV.1.1"	0.01059591	0	0.02532	79	"Canada"	0	"HV.1*"
"HV.1.2"	0.01031247	0	0.0461	12	"Canada"	0	"HV.1*"
"HK.3"	0.00992124	0	0.02924	79	"Ontario"	0	"HV.1*"
"XBB.1.5*"	0.00945055	0.00157	0.01733	358	"Canada"	0	"HV.1"
"FY.5*"	0.00862264	0	0.0426	14	"Canada"	0	"HV.1"
"JG.3"	0.00721124	0	0.03417	27	"Alberta"	0	"HV.1*"
"HK*"	0.00710101	0	0.02081	232	"Ontario"	0	"HV.1"
"JN.2"	0.00696852	0	0.03548	38	"Ontario"	0	"HV.1*"
"HK.13*"	0.00665739	0	0.03106	19	"British Columbia"	0	"HV.1"
"JF.1.1*"	0.00638136	0	0.03534	21	"Canada"	0	"HV.1"
"FL*"	0.00481679	0	0.01593	148	"Canada"	0	"HV.1"
"KC.1"	0.0047028	0	0.02415	98	"Ontario"	0	"HV.1*"
"FL.1.5*"	0.00413435	0	0.01573	138	"Canada"	0	"HV.1"
"HK.3*"	0.00409213	0	0.02103	128	"Ontario"	0	"HV.1"
"JN.2"	0.00352361	0	0.02257	38	"British Columbia"	0	"HV.1*"
"JN.2"	0.00333945	0	0.0156	143	"Canada"	0	"HV.1*"
"KL.1*"	0.0028356	0	0.01624	114	"Canada"	0	"HV.1"
"XBB.1.5*"	0.00276072	0	0.02128	55	"Alberta"	0	"HV.1"
"HK.3.2*"	0.00273777	0	0.02229	51	"Canada"	0	"HV.1"
"JD.1.1.1"	0.00249608	0	0.01659	112	"Canada"	0	"HV.1*"
"HK.26"	0.00244278	0	0.02394	43	"Canada"	0	"HV.1*"
"HK*"	0.00211232	0	0.00957	510	"Canada"	0	"HV.1"
"HK*"	0.00193667	0	0.01596	84	"British Columbia"	0	"HV.1"
"JD.1*"	0.00149207	0	0.01109	283	"Canada"	0	"HV.1"
"JD.1.1.1"	0.00147959	0	0.03076	15	"British Columbia"	0	"HV.1*"
"JD.1.1*"	0.00138665	0	0.01101	282	"Canada"	0	"HV.1"
"JG.3"	0.00130768	0	0.02671	20	"British Columbia"	0	"HV.1*"
"HV.1.1"	0.00120664	0	0.03312	20	"Alberta"	0	"HV.1*"
"GK.1*"	0.00117445	0	0.02928	25	"Canada"	0	"HV.1"
