"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"LP.8.1*"	0.0469678	0.04003	0.0539	136	"British Columbia"	0	"dashed"	"KP.3*"
"LP.8.1.2"	0.04685405	0.03179	0.06192	20	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.0466202	0.03975	0.05349	137	"British Columbia"	0	"dashed"	"KP.3*"
"KP.3.3.2"	0.04594793	0.03624	0.05566	58	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8.1*"	0.04564337	0.04285	0.04844	870	"Canada"	0	"dashed"	"KP.3*"
"LP.8*"	0.0455434	0.04275	0.04833	871	"Canada"	0	"dashed"	"KP.3*"
"JN.1.16*"	0.04552213	0.03374	0.0573	53	"Quebec"	0	"dashed"	"KP.3*"
"LF*"	0.0453224	0.03342	0.05723	51	"Quebec"	0	"dashed"	"KP.3*"
"LF.7*"	0.04447938	0.03258	0.05638	49	"Quebec"	0	"dashed"	"KP.3*"
"XEC.8"	0.04397533	0.02875	0.0592	18	"British Columbia"	0	"dashed"	"KP.3.1.1"
"JN.1.16*"	0.04328835	0.02956	0.05701	25	"British Columbia"	0	"dashed"	"KP.3*"
"LF.7.1"	0.04328213	0.0191	0.06747	12	"New Brunswick"	0	"dashed"	"KP.3.1.1"
