#node	date	numeric date
hCoV-19/Canada/QC-1nIOU-A7093488/2021_A.2.5.2_2021-03-09	2021-03-09	2021.184932
NODE_0000167	2021-01-04	2021.009589
hCoV-19/Canada/QC-1nIROK-S904361899/2021_A.2.5.2_2021-01-04	2021-01-04	2021.009589
NODE_0000168	2021-01-05	2021.012731
hCoV-19/Canada/QC-1nDWVQ-MX21129539/2021_A.2.5.2_2021-04-02	2021-04-02	2021.250685
hCoV-19/Canada/QC-1nKGZ-R7230751/2021_A.2.5.2_2021-01-23	2021-01-23	2021.061644
NODE_0000169	2021-01-15	2021.039626
NODE_0000170	2021-02-03	2021.091035
hCoV-19/Canada/QC-1nDJXP-8143172190/2021_A.2.5.2_2021-02-16	2021-02-16	2021.127397
NODE_0000171	2021-02-03	2021.091781
hCoV-19/Canada/QC-1nQUP-9968379707/2021_A.2.5.2_2021-02-26	2021-02-26	2021.154795
hCoV-19/Canada/QC-1nKGZ-R8033914/2021_A.2.5.2_2021-02-03	2021-02-03	2021.091781
NODE_0000172	2021-01-24	2021.063548
hCoV-19/Canada/QC-1nIOU-A6121723/2021_A.2.5.2_2021-02-12	2021-02-12	2021.116438
NODE_0000173	2021-01-24	2021.063548
hCoV-19/Canada/QC-1nIUH-5524322322/2021_A.2.5.2_2021-03-04	2021-03-04	2021.171233
NODE_0000174	2021-01-24	2021.063548
hCoV-19/Canada/QC-1nDJXQ-Q8191019C2/2021_A.2.5.2_2021-04-19	2021-04-19	2021.297260
hCoV-19/Canada/QC-1nKWV-W5272262/2021_A.2.5.2_2021-01-27	2021-01-27	2021.072603
NODE_0000175	2021-01-23	2021.060930
hCoV-19/CANADA/ABPHL-19589/2021_A.2.5.2_2021-06-10	2021-06-10	2021.439726
NODE_0000176	2021-03-05	2021.174378
NODE_0000177	2021-03-06	2021.177520
NODE_0000178	2021-04-22	2021.305661
hCoV-19/Canada/QC-L00356506/2021_A.2.5.2_2021-05-26	2021-05-26	2021.398630
hCoV-19/Canada/QC-L00354818001A/2021_A.2.5.2_2021-04-30	2021-04-30	2021.327397
NODE_0000179	2021-05-20	2021.381171
hCoV-19/Canada/QC-L00362688001/2021_A.2.5.2_2021-06-24	2021-06-24	2021.478082
NODE_0000180	2021-05-21	2021.384314
hCoV-19/Canada/QC-L00358359/2021_A.2.5.2_2021-06-03	2021-06-03	2021.420548
hCoV-19/Canada/QC-L00356092/2021_A.2.5.2_2021-05-21	2021-05-21	2021.384932
NODE_0000181	2021-03-06	2021.177520
hCoV-19/Canada/QC-1nIRE-U5043434CO/2021_A.2.5.2_2021-05-04	2021-05-04	2021.338356
NODE_0000182	2021-03-07	2021.180662
hCoV-19/Canada/QC-1nIEOQ-1046408551/2021_A.2.5.2_2021-04-09	2021-04-09	2021.269863
NODE_0000183	2021-03-09	2021.183804
hCoV-19/Canada/ON-PHL-21-09014/2021_A.2.5.2_2021-03-18	2021-03-18	2021.209589
NODE_0000184	2021-03-27	2021.234247
hCoV-19/Canada/QC-1nIUH-5524349546/2021_A.2.5.2_2021-03-27	2021-03-27	2021.234247
NODE_0000185	2021-04-14	2021.283159
hCoV-19/Canada/QC-1nDJXQ-Q8151352C2/2021_A.2.5.2_2021-04-15	2021-04-15	2021.286301
NODE_0000186	2021-05-14	2021.365351
hCoV-19/Canada/QC-L00367134001/2021_A.2.5.2_2021-05-15	2021-05-15	2021.368493
hCoV-19/Canada/QC-L00367133001/2021_A.2.5.2_2021-07-12	2021-07-12	2021.527397
NODE_0000187	2020-01-10	2020.026809
NODE_0000188	2020-01-22	2020.058286
NODE_0000189	2020-02-13	2020.118488
NODE_0000190	2020-03-06	2020.178323
NODE_0000191	2020-04-20	2020.303203
NODE_0000192	2020-08-24	2020.646421
hCoV-19/Canada/NS-NML-5429/2020_B.1.280_2020-11-21	2020-11-21	2020.889344
NODE_0000193	2021-01-01	2021.000967
hCoV-19/Canada/NS-NML-5149/2021_B.1.280_2021-01-04	2021-01-04	2021.009589
hCoV-19/Canada/NS-NML-5156/2021_B.1.280_2021-01-02	2021-01-02	2021.004110
NODE_0000194	2021-08-25	2021.648746
hCoV-19/Canada/QC-L00397423001/2021_B.1.640.1_2021-10-02	2021-10-02	2021.752055
NODE_0000195	2021-11-29	2021.910556
hCoV-19/Canada/ON-PHL-21-43224/2021_B.1.640.1_2021-11-30	2021-11-30	2021.913699
NODE_0000196	2021-12-10	2021.940113
hCoV-19/Canada/ON-PHL-22-02914/2022_B.1.640.1_2022-01-02	2022-01-02	2022.004110
NODE_0000197	2021-12-10	2021.941096
hCoV-19/Canada/ON-PHL-21-48197/2021_B.1.640.1_2021-12-10	2021-12-10	2021.941096
