"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"FU.2"	0.02503226	0.01143	0.03863	23	"Canada"
"HH.1*"	0.02494079	0.00494	0.04494	29	"British Columbia"
"FL.13*"	0.02483617	0.00853	0.04114	21	"Ontario"
"FL.4"	0.02480394	0.02049	0.02912	354	"Canada"
"FE.1*"	0.02478588	0.01466	0.03491	75	"Quebec"
"HT*"	0.02468822	0.01534	0.03403	85	"Quebec"
"FL.13*"	0.02460906	0.00353	0.04569	14	"Quebec"
"EG.1*"	0.02447769	0.01471	0.03424	78	"Quebec"
"FE.1.1.1"	0.02436335	0.01594	0.03279	66	"Canada"
"BF*"	0.02418786	0.00728	0.0411	15	"Canada"
"FD.1.1"	0.02416447	-0.00385	0.05218	11	"Newfoundland and Labrador"
"FD*"	0.02416447	-0.00385	0.05218	11	"Newfoundland and Labrador"
"GA*"	0.02411291	0.01043	0.03779	23	"Canada"
"EG.5.2*"	0.02408516	0.01656	0.03161	82	"Canada"
"XBB.1.16.20"	0.02394192	0.00853	0.03935	18	"Canada"
"EU.1.1"	0.02358419	0.00271	0.04446	14	"Quebec"
"XBB.1.16"	0.0235694	0.0206	0.02654	1256	"Canada"
"XBB.1.16*"	0.02356808	0.00498	0.04215	25	"Newfoundland and Labrador"
"XBB.1.16"	0.02355617	0.01694	0.03017	219	"Quebec"
"XBB.1.5.77"	0.02347329	0.0134	0.03355	45	"Canada"
"XBB.1.9.1"	0.02339536	0.01523	0.03156	116	"Ontario"
"EG.1*"	0.02326188	0.01868	0.02784	259	"Canada"
"FL.4.6"	0.02291636	0.01003	0.0358	27	"Canada"
"EG.1.3"	0.02269707	0.01246	0.03293	44	"Canada"
"GN*"	0.02259703	0.00544	0.03975	22	"Quebec"
"FL*"	0.0225644	0.00897	0.03616	148	"Alberta"
"GF*"	0.02252294	0.01171	0.03333	39	"Canada"
"XBB.1.5.100"	0.02242172	0.01242	0.03243	47	"Canada"
"XBB.2.3.11"	0.02235414	0.01318	0.03153	56	"Canada"
"HH*"	0.02232708	0.01592	0.02874	116	"Canada"
"FL.3"	0.02226491	0.00639	0.03814	26	"Quebec"
"FD.1.1"	0.02204847	0.01227	0.03183	63	"Ontario"
"FE.1*"	0.02170202	0.01541	0.02799	135	"Canada"
"GB.1"	0.02158521	0.01082	0.03235	40	"Canada"
"HY*"	0.02157837	0.01195	0.0312	52	"Canada"
"GY*"	0.02151738	0.00055	0.04248	39	"Alberta"
"XBB.1.16*"	0.02142269	0.01189	0.03095	51	"New Brunswick"
"EG.5.2"	0.02102902	0.01306	0.029	77	"Canada"
"GY*"	0.02096398	0.01494	0.02699	147	"Canada"
"FL.2"	0.02083864	0.00055	0.04113	14	"Ontario"
"HH.1*"	0.02069283	0.00972	0.03167	39	"Canada"
"XBB.1.5.25"	0.0205273	0.00733	0.03373	27	"Canada"
"EU.1.1*"	0.02043455	0.00725	0.03362	36	"Ontario"
"XBB.1.5.49"	0.02038742	0.01467	0.0261	165	"Canada"
"EU.1.1*"	0.02034052	0.0119	0.02878	70	"Canada"
"XBB.1.16.1"	0.02012544	0.0154	0.02485	258	"Canada"
"EG*"	0.02009098	0.00948	0.0307	36	"New Brunswick"
"HH.1.1"	0.01963978	-0.00192	0.0412	26	"British Columbia"
"XBB.1.5.37"	0.01955948	0.00714	0.03198	44	"Quebec"
"XBB.1.5.13"	0.01954105	0.00622	0.03287	40	"Quebec"
"EU.1.1*"	0.01950179	0.00058	0.03843	18	"Quebec"
"FE.1*"	0.01948994	0.00766	0.03132	45	"Ontario"
"XBB.1.9.1"	0.01931128	0.0007	0.03792	15	"Nova Scotia"
"XBB.1.9.2"	0.01930838	0.00548	0.03314	33	"Ontario"
"XBB.2.3.2"	0.01898077	0.01072	0.02724	73	"Canada"
"XBB.1.5.37"	0.0187894	0.011	0.02658	86	"Canada"
"FL.10"	0.01839233	0.00278	0.034	20	"Canada"
"XBB.1.16.13"	0.01837565	0.0051	0.03165	28	"Canada"
"HH*"	0.01824785	0.00179	0.03471	24	"Quebec"
"EU.1.1"	0.01821487	0.00906	0.02737	62	"Canada"
"FE.1.1.1"	0.01794913	0.00457	0.03133	40	"Quebec"
"HE*"	0.01794913	0.00457	0.03133	40	"Quebec"
"EG.1"	0.01791403	0.01111	0.02472	121	"Canada"
"XBB.1.5.7"	0.01756848	-0.00225	0.03739	17	"Quebec"
"XBB.1.16.2"	0.01751435	-0.0069	0.04193	24	"British Columbia"
"EU.1.1"	0.01747422	0.00362	0.03132	34	"Ontario"
"BA.5*"	0.01718963	0.00696	0.02742	66	"Ontario"
"XBB.1.9.2"	0.01716083	-0.00919	0.04351	20	"British Columbia"
"FL.13"	0.017004	0.00271	0.0313	25	"Canada"
"XBB.1.5.62"	0.01677426	-0.00199	0.03554	18	"Ontario"
"BA.2.75*"	0.01646442	0.0076	0.02533	88	"Ontario"
"HT*"	0.01637547	0.0019	0.03085	71	"British Columbia"
"FL.5"	0.01631445	0.00558	0.02705	64	"Ontario"
"EG.1"	0.01621155	0.00417	0.02826	51	"Quebec"
"XBB.1.5.37"	0.01593125	0.00057	0.03129	28	"Ontario"
"CH.1.1*"	0.01579803	0.00681	0.02479	86	"Ontario"
"GJ.3"	0.01567389	0.00052	0.03083	23	"Canada"
"XBB.1.9.2"	0.01561205	0.00937	0.02185	156	"Canada"
"EG*"	0.01536053	0.0035	0.02722	113	"British Columbia"
"FD.1.1"	0.01530789	0.01204	0.01858	908	"Canada"
"EG.5.2"	0.0149202	0.00449	0.02536	64	"Ontario"
"EG.5.2*"	0.0149202	0.00449	0.02536	64	"Ontario"
"FL.13*"	0.01465996	-0.02036	0.04968	11	"British Columbia"
"XBB.1.5.77"	0.0144452	-0.00387	0.03276	21	"Quebec"
"XBB.2.3.2"	0.01419809	-0.00318	0.03157	23	"Quebec"
"HT*"	0.01392718	0.00859	0.01926	221	"Canada"
"FD*"	0.01390337	0.01074	0.01707	1034	"Canada"
"FL.13*"	0.01379015	0.005	0.02258	76	"Canada"
"XBB.2.3.3"	0.01369398	0.00291	0.02448	48	"Canada"
"FL.26"	0.0136368	-0.00762	0.0349	12	"Canada"
"XBB.1.16.2"	0.01357404	-0.01018	0.03733	33	"Alberta"
"FD*"	0.01351431	0.00518	0.02185	109	"Ontario"
"FD.1.1"	0.01300802	0.00824	0.01778	741	"Quebec"
